Lamp__D3237E_Eight_Sec_Power_Consumption,Lamp_dev_D331DA_Eight_Sec_Power_Consumption,Monitor-TFT_dev_599185_Eight_Sec_Power_Consumption,PC-Desktop_dev_59ADA7_Eight_Sec_Power_Consumption,TV-LCD_dev_D33097_Eight_Sec_Power_Consumption
45.00,181.00,0.00,2.00,112.14
45.00,181.67,0.00,2.00,111.67
45.00,181.70,0.00,2.00,111.52
45.00,183.00,0.00,2.00,111.09
45.00,183.00,0.00,2.00,111.18
45.00,183.00,0.00,2.00,111.00
33.55,183.00,0.00,2.00,111.11
0.00,183.23,0.00,2.00,110.88
0.00,183.13,0.00,2.00,111.00
0.00,183.86,0.00,2.00,111.00
0.00,184.14,0.00,2.00,111.19
0.00,186.00,0.00,2.00,111.00
0.00,186.00,0.00,2.00,111.10
0.00,186.00,0.00,2.00,111.09
0.00,186.00,0.00,2.00,111.00
0.00,186.00,0.00,2.00,111.10
0.00,186.00,0.00,2.00,111.19
0.00,186.00,0.00,2.00,111.17
0.00,186.00,0.00,2.00,111.29
0.00,186.00,0.00,2.00,111.00
0.00,185.55,0.00,2.00,111.20
0.00,185.70,0.00,2.00,111.20
0.00,186.00,0.00,2.00,111.00
0.00,186.00,0.00,2.00,111.00
0.00,184.71,0.00,2.00,111.00
0.00,185.85,0.00,2.00,111.00
0.00,184.50,0.00,2.00,111.00
0.00,185.29,0.00,2.00,111.19
0.00,185.25,0.00,2.00,111.10
0.00,184.20,0.00,2.00,111.00
0.00,186.00,0.00,2.00,110.90
0.00,186.00,0.00,2.00,110.81
0.00,186.00,0.00,2.00,111.27
0.00,186.00,0.00,2.00,111.00
0.00,185.25,0.00,2.00,112.09
